id,price,landSize,bedroom,bathroom,carspace,distPri,distSec,year,suburb,link,
75,700000,758,4,1,1,540,990,1985,Kingsley,https://www.realestate.com.au/sold/property-house-wa-kingsley-140974968,
76,570000,431,3,2,3,640,1290,1980,Kingsley,https://www.property.com.au/wa/kingsley-6026/clinton-st/20b-pid-7284103/,
77,600000,233,3,2,2,370,1490,2019,Kingsley,https://www.realestate.com.au/sold/property-house-wa-kingsley-142627424,
78,885000,842,4,2,2,1200,2190,1978,Kingsley,https://www.realestate.com.au/sold/property-house-wa-kingsley-141590736,
79,768500,686,5,3,2,620,1070,1977,Kingsley,https://www.realestate.com.au/sold/property-house-wa-kingsley-141774692,
80,700000,683,4,1,2,430,1140,1981,Kingsley,https://www.realestate.com.au/sold/property-house-wa-kingsley-141420608,
81,1208000,905,5,4,3,840,2380,1983,Kingsley,https://www.realestate.com.au/sold/property-house-wa-kingsley-141451492,
82,930000,700,4,2,2,230,1910,1988,Kingsley,https://www.realestate.com.au/sold/property-house-wa-kingsley-141653416,
83,741000,713,3,2,1,290,1630,1983,Kingsley,https://www.realestate.com.au/sold/property-house-wa-kingsley-142022884,
84,700000,700,4,2,5,520,1550,1988,Kingsley,https://www.realestate.com.au/sold/property-house-wa-kingsley-141483348,
85,755000,468,4,2,2,870,2460,2017,Kingsley,https://www.realestate.com.au/sold/property-house-wa-kingsley-141288584,
86,755000,827,4,2,2,250,1440,1985,Kingsley,https://www.realestate.com.au/sold/property-house-wa-kingsley-141760624,
87,620000,683,3,1,1,520,1580,1977,Kingsley,https://www.realestate.com.au/sold/property-house-wa-kingsley-141426008,
88,675000,912,3,1,1,550,1740,1983,Kingsley,https://www.realestate.com.au/sold/property-house-wa-kingsley-141515804,
89,795000,759,4,2,2,510,1670,1988,Kingsley,https://www.realestate.com.au/sold/property-house-wa-kingsley-141818632,
90,760000,749,4,2,4,540,1390,1988,Kingsley,https://www.realestate.com.au/sold/property-house-wa-kingsley-141394544,
91,755000,691,4,2,2,560,2280,1979,Kingsley,https://www.realestate.com.au/sold/property-house-wa-kingsley-141684612,
92,689000,680,4,2,2,550,2300,1988,Kingsley,https://www.realestate.com.au/sold/property-house-wa-kingsley-141476048,
93,850000,711,4,2,2,670,1940,1979,Kingsley,https://www.realestate.com.au/sold/property-house-wa-kingsley-140903228,
94,752500,700,4,2,2,600,1200,1985,Kingsley,https://www.realestate.com.au/sold/property-house-wa-kingsley-141301424,
95,880000,454,4,2,2,190,1860,2022,Kingsley,https://www.realestate.com.au/sold/property-house-wa-kingsley-141098388,
96,750000,713,4,2,2,890,2070,1976,Kingsley,https://www.realestate.com.au/sold/property-house-wa-kingsley-141370652,
97,823000,702,4,2,2,300,2080,1981,Kingsley,https://www.realestate.com.au/sold/property-house-wa-kingsley-141189168,
98,635000,694,3,1,1,750,970,1977,Kingsley,https://www.realestate.com.au/sold/property-house-wa-kingsley-141211924,
99,675000,683,4,2,2,150,1370,1983,Kingsley,https://www.realestate.com.au/sold/property-house-wa-kingsley-141406872,
100,770000,776,4,2,2,420,2130,1987,Kingsley,https://www.realestate.com.au/sold/property-house-wa-kingsley-140889092,
101,862000,703,4,2,2,880,1040,1999,Bayswater,https://www.realestate.com.au/sold/property-house-wa-bayswater-142742732,
102,600000,330,3,1,2,990,1090,2020,Bayswater,https://www.realestate.com.au/property/1-newton-st-bayswater-wa-6053/,
103,775000,1012,2,1,3,370,1740,1951,Bayswater,https://www.realestate.com.au/sold/property-house-wa-bayswater-142190772,
104,740000,363,4,2,2,690,1100,1998,Bayswater,https://www.realestate.com.au/property/32a-langley-rd-bayswater-wa-6053/,
105,615000,339,5,2,2,630,2200,2012,Bayswater,https://www.realestate.com.au/property/49a-farley-way-bayswater-wa-6053/,
106,690000,506,2,1,1,600,2550,1933,Bayswater,https://www.realestate.com.au/sold/property-house-wa-bayswater-142076368,
107,375000,101,1,1,1,160,2150,2017,Bayswater,https://www.realestate.com.au/sold/property-house-wa-bayswater-142488108,
108,930000,490,4,2,2,1090,1940,1920,Bayswater,https://www.realestate.com.au/sold/property-house-wa-bayswater-142326952,
109,1050000,483,4,2,2,1420,1930,2008,Bayswater,https://www.realestate.com.au/sold/property-house-wa-bayswater-142231584,
110,720000,446,4,2,2,1280,1550,2016,Bayswater,https://www.realestate.com.au/sold/property-house-wa-bayswater-142177808,
111,920000,419,4,2,2,1160,2130,1919,Bayswater,https://www.realestate.com.au/sold/property-house-wa-bayswater-142415812,
112,840000,997,3,1,1,570,1240,1952,Bayswater,https://www.realestate.com.au/sold/property-house-wa-bayswater-141970020,
113,1120000,685,4,2,2,530,2720,2008,Bayswater,https://www.realestate.com.au/sold/property-house-wa-bayswater-142349728,
114,690000,285,4,2,2,630,1960,2017,Bayswater,https://www.realestate.com.au/sold/property-house-wa-bayswater-142231464,
115,950000,339,4,2,2,940,2680,2015,Bayswater,https://www.realestate.com.au/sold/property-house-wa-bayswater-141894080,
116,885000,819,2,2,4,1190,2050,1939,Bayswater,https://www.realestate.com.au/sold/property-house-wa-bayswater-141933208,
117,469305,466,4,1,2,690,820,1974,Bayswater,https://www.realestate.com.au/sold/property-house-wa-bayswater-142107932,
118,551000,360,3,2,2,890,1160,2004,Bayswater,https://www.realestate.com.au/sold/property-house-wa-bayswater-141922564,
119,950000,525,4,2,2,440,2390,1996,Bayswater,https://www.realestate.com.au/sold/property-house-wa-bayswater-142117032,
120,1250000,491,4,2,4,830,2110,2009,Bayswater,https://www.realestate.com.au/sold/property-house-wa-bayswater-141592368,
121,340000,135,1,1,1,1270,1930,2016,Bayswater,https://www.realestate.com.au/sold/property-house-wa-bayswater-141962120,
122,940000,328,4,2,2,470,2730,1937,Bayswater,https://www.realestate.com.au/sold/property-house-wa-bayswater-142168360,
123,550000,532,3,1,1,1190,680,1977,Bayswater,https://www.realestate.com.au/sold/property-house-wa-bayswater-141603860,
124,837500,582,3,2,2,530,2650,1939,Bayswater,https://www.realestate.com.au/sold/property-house-wa-bayswater-142119144,
125,780000,669,3,2,2,930,1610,1954,Bayswater,https://www.realestate.com.au/sold/property-house-wa-bayswater-141838484,
126,735000,400,3,2,2,1420,1850,2013,Bayswater,https://www.realestate.com.au/sold/property-house-wa-bayswater-141877200,
127,545000,359,3,1,1,1280,870,1974,Bayswater,https://www.realestate.com.au/sold/property-house-wa-bayswater-141598344,
128,965000,485,4,2,2,520,1150,2010,Bayswater,https://www.realestate.com.au/sold/property-house-wa-bayswater-141948768,
129,460000,302,3,1,0,1110,1390,1961,Bayswater,https://www.realestate.com.au/sold/property-house-wa-bayswater-141782700,
130,841000,419,3,2,4,1060,1990,1960,Bayswater,https://www.realestate.com.au/sold/property-house-wa-bayswater-141772708,
131,560000,361,3,2,2,890,1160,2004,Bayswater,https://www.realestate.com.au/sold/property-house-wa-bayswater-141973636,
132,485000,263,3,1,2,260,2330,1987,Bayswater,https://www.realestate.com.au/sold/property-house-wa-bayswater-141564640,
133,1250000,1009,3,1,1,760,2400,1949,Bayswater,https://www.realestate.com.au/sold/property-house-wa-bayswater-141916128,
134,620000,351,3,2,4,1170,1440,2011,Bayswater,https://www.realestate.com.au/sold/property-house-wa-bayswater-141603032,
135,440000,263,3,2,2,620,1400,2004,Bayswater,https://www.realestate.com.au/sold/property-house-wa-bayswater-140648839,
136,605000,345,4,2,2,1300,1200,2013,Bayswater,https://www.realestate.com.au/sold/property-house-wa-bayswater-141307048,
137,937500,641,4,1,1,240,2240,1935,Bayswater,https://www.realestate.com.au/sold/property-house-wa-bayswater-141756224,
138,1100000,406,4,2,2,1400,1990,2012,Bayswater,https://www.realestate.com.au/sold/property-house-wa-bayswater-141192580,
139,740000,535,4,2,1,1270,1580,2004,Bayswater,https://www.realestate.com.au/sold/property-house-wa-bayswater-141343892,
140,1235000,662,4,2,4,710,1450,1950,Bayswater,https://www.realestate.com.au/sold/property-house-wa-bayswater-141707956,
141,588000,300,4,2,2,840,650,2016,Bayswater,https://www.realestate.com.au/sold/property-house-wa-bayswater-141711872,
142,665000,290,3,2,2,510,2640,2011,Bayswater,https://www.realestate.com.au/sold/property-house-wa-bayswater-140957240,
143,655000,476,2,1,2,700,1450,1962,Bayswater,https://www.realestate.com.au/sold/property-house-wa-bayswater-141653132,
144,955000,288,4,3,2,700,2460,2019,Bayswater,https://www.realestate.com.au/sold/property-house-wa-bayswater-141490904,
145,725000,437,2,1,0,570,2580,1936,Bayswater,https://www.realestate.com.au/sold/property-house-wa-bayswater-141340320,
146,825000,406,3,2,1,920,1620,2004,Bayswater,https://www.realestate.com.au/sold/property-house-wa-bayswater-141583104,
147,910000,360,3,2,4,970,1990,2002,Bayswater,https://www.realestate.com.au/sold/property-house-wa-bayswater-140920948,
148,618000,602,3,1,2,260,1980,1970,Bayswater,https://www.realestate.com.au/sold/property-house-wa-bayswater-140179031,
149,691500,333,3,1,1,580,1700,1980,Bayswater,https://www.realestate.com.au/sold/property-house-wa-bayswater-141507328,
150,501500,752,3,1,2,920,900,1974,Bayswater,https://www.realestate.com.au/sold/property-house-wa-bayswater-141158612,
